Palabra,Numero
DROGARIA,35
SUPERMERCADO,32
SUPER,26
LOJAS,21
DROGA,21
FARMACIA,21
COSMETICOS,21
SUPERMERCADOS,19
FARMA,17
CASA,12
DO,12
SANTA,12
PERFUMARIA,12
SAO,11
REDE,10
MOVEIS,9
DE,7
NOVA,7
ELETRO,7
DA,6
BIG,6
BOM,6
COOP,5
ATACADAO,5
RIO,5
CENTRAL,5
SUP,5
MAGAZINE,5
GLOBO,5
DOS,5
DROGARIAS,5
LIVRARIA,5
BAIRRO,4
MAX,4
SANTO,4
SHOP,4
PRECO,4
BRASIL,4
DIA,4
LTDA,4
ATACADISTA,3
CENTER,3
COMPRE,3
FARMÁCIA,3
COMERCIAL,2
MERCANTIL,2
BELEZA,2
EXPRESS,2
MAIS,2
LOJA,2
FARMACIAS,2
Supermercado,2
MARKET,2
de,2
COMERCIO,1
MERCADO,1
MERCADINHO,1
